Entrez,Term
4325025,GO:0006355
4325027,GO:0006096
4325027,GO:0008152
4324982,GO:0006508
4324984,GO:0032313
4324985,GO:0006355
4324864,GO:0006396
9268808,GO:0015074
4324876,GO:0018279
4324312,GO:0006810
4324312,GO:0055085
4324314,GO:0006355
4324320,GO:0006662
4324320,GO:0045454
4324322,GO:0006857
4324342,GO:0006869
4324344,GO:0006869
4324328,GO:0006457
4324331,GO:0006886
4324331,GO:0016192
4324355,GO:0006468
4324364,GO:0005985
4324368,GO:0055085
4327738,GO:0006631
4327738,GO:0055114
4327751,GO:0008152
4327752,GO:0045040
9271250,GO:0008152
4327253,GO:0006355
9271913,GO:0000160
9271913,GO:0006355
